Academic Period,Course Section,AMH CF LRV Course Definition,Course Title,Registration Status,Anonymized ID
Fall 2024,EDST 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,303032114
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,114706132
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,116789334
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,115361742
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,115416174
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,115248155
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,115588553
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,117786856
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,117061737
Fall 2024,SOCI 337-01 - Dilemmas of Diversity,AAPI 337/ EDST 337/ SOCI 337 - Dilemmas of Diversity,Dilemmas of Diversity: The Case of Higher Education,Registered,114833585
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117083232
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,78668553
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,114903457
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117065370
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117866294
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,118365751
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,116174896
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,108506904
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,114986104
Fall 2024,AMST 111-01 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,115888869
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,116022740
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,78425878
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,114709462
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117003612
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117021473
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117089529
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117025167
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,118497503
Fall 2024,AMST 111-02 - Global Valley,AMST 111/ ENGL 151 - Global Valley,Global Valley,Registered,117936408
